bioguide,firstname,lastname,birthday,state,party,start_date,end_date
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,1993-01-05,1994-12-01,No
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,1995-01-04,1996-10-04,Yes
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,1997-01-07,1998-12-19,Yes
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,1999-01-06,2000-12-15,Yes
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,2001-01-03,2002-11-22,Yes
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,2003-01-07,2004-12-09,Yes
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,2005-01-04,2006-12-09,Yes
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,2007-01-04,2013-01-03,Yes
B000944,Sherrod,Brown,1952-11-09,OH,Democrat,2013-01-03,2019-01-03,Yes
C000127,Maria,Cantwell,1958-10-13,WA,Democrat,1993-01-05,1994-12-01,No
C000127,Maria,Cantwell,1958-10-13,WA,Democrat,2001-01-03,2006-12-09,No
C000127,Maria,Cantwell,1958-10-13,WA,Democrat,2007-01-04,2013-01-03,Yes
C000127,Maria,Cantwell,1958-10-13,WA,Democrat,2013-01-03,2019-01-03,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,1987-01-06,1988-10-22,No
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,1989-01-03,1990-10-28,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,1991-01-03,1992-10-09,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,1993-01-05,1994-12-01,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,1995-01-04,1996-10-04,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,1997-01-07,1998-12-19,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,1999-01-06,2000-12-15,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,2001-01-03,2002-11-22,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,2003-01-07,2004-12-09,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,2005-01-04,2006-12-09,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,2007-01-04,2013-01-03,Yes
C000141,Benjamin,Cardin,1943-10-05,MD,Democrat,2013-01-03,2019-01-03,Yes
C000174,Thomas,Carper,1947-01-23,DE,Democrat,1983-01-03,1984-10-12,No
C000174,Thomas,Carper,1947-01-23,DE,Democrat,1985-01-03,1986-10-18,Yes
C000174,Thomas,Carper,1947-01-23,DE,Democrat,1987-01-06,1988-10-22,Yes
C000174,Thomas,Carper,1947-01-23,DE,Democrat,1989-01-03,1990-10-28,Yes
C000174,Thomas,Carper,1947-01-23,DE,Democrat,1991-01-03,1992-10-09,Yes
C000174,Thomas,Carper,1947-01-23,DE,Democrat,2001-01-03,2006-12-09,No
C000174,Thomas,Carper,1947-01-23,DE,Democrat,2007-01-04,2013-01-03,Yes
C000174,Thomas,Carper,1947-01-23,DE,Democrat,2013-01-03,2019-01-03,Yes
C001070,Robert,Casey,1960-04-13,PA,Democrat,2007-01-04,2013-01-03,No
C001070,Robert,Casey,1960-04-13,PA,Democrat,2013-01-03,2019-01-03,Yes
C001071,Bob,Corker,1952-08-24,TN,Republican,2007-01-04,2013-01-03,No
C001071,Bob,Corker,1952-08-24,TN,Republican,2013-01-03,2019-01-03,Yes
F000062,Dianne,Feinstein,1933-06-22,CA,Democrat,1992-11-10,1994-12-01,No
F000062,Dianne,Feinstein,1933-06-22,CA,Democrat,1995-01-04,2000-12-15,Yes
F000062,Dianne,Feinstein,1933-06-22,CA,Democrat,2001-01-03,2006-12-09,Yes
F000062,Dianne,Feinstein,1933-06-22,CA,Democrat,2007-01-04,2013-01-03,Yes
F000062,Dianne,Feinstein,1933-06-22,CA,Democrat,2013-01-03,2019-01-03,Yes
H000338,Orrin,Hatch,1934-03-22,UT,Republican,1977-01-04,1982-12-23,No
H000338,Orrin,Hatch,1934-03-22,UT,Republican,1983-01-03,1988-10-22,Yes
H000338,Orrin,Hatch,1934-03-22,UT,Republican,1989-01-03,1994-12-01,Yes
H000338,Orrin,Hatch,1934-03-22,UT,Republican,1995-01-04,2000-12-15,Yes
H000338,Orrin,Hatch,1934-03-22,UT,Republican,2001-01-03,2006-12-09,Yes
H000338,Orrin,Hatch,1934-03-22,UT,Republican,2007-01-04,2013-01-03,Yes
H000338,Orrin,Hatch,1934-03-22,UT,Republican,2013-01-03,2019-01-03,Yes
K000367,Amy,Klobuchar,1960-05-25,MN,Democrat,2007-01-04,2013-01-03,No
K000367,Amy,Klobuchar,1960-05-25,MN,Democrat,2013-01-03,2019-01-03,Yes
M001170,Claire,McCaskill,1953-07-24,MO,Democrat,2007-01-04,2013-01-03,No
M001170,Claire,McCaskill,1953-07-24,MO,Democrat,2013-01-03,2019-01-03,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,1993-01-05,1994-12-01,No
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,1995-01-04,1996-10-04,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,1997-01-07,1998-12-19,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,1999-01-06,2000-12-15,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,2001-01-03,2002-11-22,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,2003-01-07,2004-12-09,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,2005-01-04,2006-01-16,Yes
