bioguide,firstname,lastname,birthday,state,party,start_date,end_date
B000226,Richard,Bassett,1745-04-02,DE,Anti-Administration,1789-03-04,1793-03-02,No
B000546,Theodorick,Bland,1742-03-21,VA,,1789-03-04,1791-03-03,No
B001086,Aedanus,Burke,1743-06-16,SC,,1789-03-04,1791-03-03,No
C000187,Daniel,Carroll,1730-07-22,MD,,1789-03-04,1791-03-03,No
C000538,George,Clymer,1739-03-16,PA,,1789-03-04,1791-03-03,No
C000710,Benjamin,Contee,,MD,,1789-03-04,1791-03-03,No
D000013,Tristram,Dalton,1738-05-28,MA,Pro-Administration,1789-03-04,1791-03-03,No
E000155,Jonathan,Elmer,1745-11-29,NJ,Pro-Administration,1789-03-04,1791-03-03,No
F000100,William,Few,1748-06-08,GA,Anti-Administration,1789-03-04,1793-03-02,No
F000224,William,Floyd,1734-12-17,NY,,1789-03-04,1791-03-03,No
G000012,George,Gale,1756-06-03,MD,,1789-03-04,1791-03-03,No
G000403,William,Grayson,,VA,Anti-Administration,1789-03-04,1791-03-03,No
G000500,Jonathan,Grout,1737-07-23,MA,,1789-03-04,1791-03-03,No
H000368,Benjamin,Hawkins,1754-08-15,NC,Pro-Administration,1789-03-04,1795-03-03,No
H000995,Benjamin,Huntington,1736-04-19,CT,,1789-03-04,1791-03-03,No
I000053,Ralph,Izard,,SC,Pro-Administration,1789-03-04,1795-03-03,No
J000182,William,Johnson,1727-10-07,CT,Pro-Administration,1789-03-04,1791-12-31,No
J000198,Samuel,Johnston,1733-12-15,NC,Pro-Administration,1789-03-04,1793-03-02,No
L000201,Richard,Lee,1732-01-20,VA,Anti-Administration,1789-03-04,1793-03-02,No
M000031,William,Maclay,1737-07-20,PA,Anti-Administration,1789-03-04,1791-03-03,No
M000234,George,Mathews,1739-08-30,GA,,1789-03-04,1791-03-03,No
M000985,Robert,Morris,1734-01-20,PA,Pro-Administration,1789-03-04,1795-03-03,No
P000092,George,Partridge,1740-02-08,MA,,1789-03-04,1791-03-03,No
P000102,William,Paterson,1745-12-24,NJ,Pro-Administration,1789-03-04,1791-03-03,No
S000624,William,Smith,1728-04-12,MD,,1789-03-04,1791-03-03,No
S000961,Michael,Stone,,MD,,1789-03-04,1791-03-03,No
V000053,Jeremiah,Van Rensselaer,1738-08-27,NY,,1789-03-04,1791-03-03,No
W000783,Henry,Wynkoop,1737-03-02,PA,,1789-03-04,1791-03-03,No
D000324,Philemon,Dickinson,1739-04-05,NJ,Pro-Administration,1790-01-01,1793-03-02,No
W000059,John,Walker,1744-02-13,VA,Pro-Administration,1790-01-01,1791-03-03,No
A000307,John,Ashe,,NC,,1789-03-04,1791-03-03,No
A000307,John,Ashe,,NC,,1791-10-24,1793-03-02,No
B000167,Robert,Barnwell,1761-12-21,SC,,1791-10-24,1793-03-02,No
B001133,Aaron,Burr,1756-02-06,NY,Republican,1791-10-24,1797-03-03,No
C000009,George,Cabot,1752-12-03,MA,Federalist,1791-10-24,1797-03-03,No
C000185,Charles,Carroll,1737-09-19,MD,Pro-Administration,1789-03-04,1791-03-03,No
C000185,Charles,Carroll,1737-09-19,MD,,1791-10-24,1793-03-02,No
E000147,Oliver,Ellsworth,1745-04-29,CT,Pro-Administration,1789-03-04,1791-03-03,No
E000147,Oliver,Ellsworth,1745-04-29,CT,Federalist,1791-10-24,1797-03-03,No
G000139,Elbridge,Gerry,1744-07-17,MA,,1789-03-04,1791-03-03,No
G000139,Elbridge,Gerry,1744-07-17,MA,,1791-10-24,1793-03-02,No
H000916,Daniel,Huger,1742-02-20,SC,,1789-03-04,1791-03-03,No
H000916,Daniel,Huger,1742-02-20,SC,,1791-10-24,1793-03-02,No
J000036,Israel,Jacobs,1726-06-09,PA,,1791-10-24,1793-03-02,No
K000158,Philip,Key,,MD,,1791-10-24,1793-03-02,No
R000091,George,Read,1733-09-18,DE,Pro-Administration,1789-03-04,1791-03-03,No
R000091,George,Read,1733-09-18,DE,,1791-10-24,1793-12-31,No
R000350,Moses,Robinson,1741-03-22,VT,Republican,1791-10-24,1797-03-03,No
S000140,Cornelius,Schoonmaker,,NY,,1791-10-24,1793-03-02,No
S000242,Joshua,Seney,1756-03-04,MD,,1789-03-04,1791-03-03,No
S000242,Joshua,Seney,1756-03-04,MD,,1791-10-24,1793-03-02,No
S000340,Upton,Sheredine,Not Found,MD,,1791-10-24,1793-03-02,No
S000349,Roger,Sherman,1721-04-19,CT,Pro-Administration,1789-03-04,1791-03-03,No
S000349,Roger,Sherman,1721-04-19,CT,Pro-Administration,1791-10-24,1793-12-31,No
S000412,Peter,Silvester,,NY,,1789-03-04,1791-03-03,No
S000412,Peter,Silvester,,NY,,1791-10-24,1793-03-02,No
S000832,John,Steele,1764-11-16,NC,,1789-03-04,1791-03-03,No
S000832,John,Steele,1764-11-16,NC,,1791-10-24,1793-03-02,No
S000866,Samuel,Sterett,,MD,,1791-10-24,1793-03-02,No
S001047,Jonathan,Sturges,1740-08-23,CT,,1789-03-04,1791-03-03,No
S001047,Jonathan,Sturges,1740-08-23,CT,,1791-10-24,1793-03-02,No
T000403,Thomas,Tucker,1745-06-25,SC,,1789-03-04,1791-03-03,No
T000403,Thomas,Tucker,1745-06-25,SC,,1791-10-24,1793-03-02,No
